poinew_1,poinew_2,poinew_3
2.627115,-3.477452,-1.167792
2.548826,-3.375046,0.07382368
2.625375,-3.477671,-1.005981
2.545747,-3.373417,0.2214858
2.612386,-3.461723,-0.8429942
2.536553,-3.362455,0.3684945
2.595188,-3.441431,-0.6826801
2.536848,-3.365288,0.5174573
2.599577,-3.449755,-0.5303754
2.523262,-3.349698,0.6642208
2.580957,-3.426289,-0.3752926
2.521368,-3.348399,0.8147544
2.582462,-3.430779,-0.2250446
2.513284,-3.34009,0.9650401
2.569988,-3.416689,-0.07462649
2.497313,-3.321277,1.11344
2.626552,-3.502056,-1.172968
2.551424,-3.403122,0.07424254
2.622569,-3.49929,-1.00958
2.545931,-3.398267,0.2225325
2.619121,-3.49596,-0.8491001
2.543909,-3.396804,0.3712835
2.596182,-3.467863,-0.6861216
2.532221,-3.383658,0.5189197
2.598221,-3.473114,-0.5325691
2.526934,-3.379051,0.6682881
2.589266,-3.462402,-0.3782559
2.52377,-3.37605,0.8193339
2.580035,-3.452571,-0.225882
2.514439,-3.366016,0.9699889
2.579583,-3.45448,-0.07525478
2.501884,-3.351648,1.120687
2.637386,-3.542193,-1.183321
2.553857,-3.431258,0.0746614
2.620807,-3.522494,-1.013629
2.544185,-3.41951,0.2233699
2.61979,-3.522409,-0.8532978
2.541546,-3.418454,0.3726779
2.605271,-3.505443,-0.6917533
2.528682,-3.403631,0.5206259
2.595551,-3.494911,-0.534519
2.529847,-3.406442,0.6720425
2.586665,-3.484217,-0.3796504
2.52484,-3.402181,0.8235316
2.582247,-3.480805,-0.2271381
2.51196,-3.387295,0.9735881
2.57526,-3.472653,-0.07546421
2.504561,-3.378549,1.126898
2.641081,-3.573128,-1.190568
2.559105,-3.462221,0.07515007
2.629957,-3.559377,-1.021728
2.551219,-3.454075,0.2250446
2.616808,-3.544168,-0.8563508
2.543796,-3.446542,0.3747697
2.607708,-3.533135,-0.6955077
2.539773,-3.442348,0.5252569
2.598086,-3.52267,-0.5374439
2.52263,-3.421612,0.6732941
2.591036,-3.51568,-0.3820908
2.533345,-3.437402,0.8300192
2.584906,-3.508645,-0.2283941
2.515737,-3.416005,0.9794369
2.56905,-3.489673,-0.07563873
2.511073,-3.412166,1.13518
2.640649,-3.59744,-1.195744
2.567115,-3.498541,0.07574344
2.633653,-3.590534,-1.028026
2.556862,-3.48712,0.2266147
2.618971,-3.571825,-0.8609302
2.542954,-3.469421,0.3763385
2.610537,-3.562931,-0.699575
2.541817,-3.47041,0.5281818
2.599846,-3.550938,-0.5403687
2.523504,-3.447931,0.6767356
2.586423,-3.533899,-0.3831367
2.531764,-3.460484,0.8334537
2.591508,-3.543441,-0.2300689
2.516448,-3.442071,0.9843858
2.571012,-3.517993,-0.07605759
2.505984,-3.43027,1.138286
2.642866,-3.626932,-1.202473
2.563128,-3.518795,0.07598778
2.633721,-3.617035,-1.032975
2.558779,-3.515401,0.2278708
2.622662,-3.603168,-0.8662729
2.547239,-3.500831,0.3787788
2.606218,-3.583204,-0.7017651
2.541361,-3.495317,0.5306191
2.603774,-3.582473,-0.5437811
2.527709,-3.479093,0.6811157
2.588125,-3.562248,-0.3852284
2.531207,-3.485185,0.8372699
2.589684,-3.567011,-0.2310109
2.519298,-3.471337,0.9902346
2.575156,-3.549607,-0.07654625
2.511007,-3.462455,1.146051
2.639247,-3.648657,-1.206614
2.564891,-3.547166,0.07640664
2.630212,-3.638841,-1.036574
2.557019,-3.538881,0.2288128
2.625016,-3.632987,-0.8712339
2.550169,-3.530698,0.3810449
2.607571,-3.611499,-0.7055195
2.533792,-3.510605,0.5315941
2.607514,-3.614077,-0.5471934
2.531727,-3.510325,0.685496
2.58966,-3.590652,-0.3873201
2.532803,-3.51311,0.8418493
2.585391,-3.587371,-0.2317436
2.518557,-3.495921,0.9947336
2.586122,-3.591028,-0.07724435
2.514708,-3.493149,1.153298
3.569599,-4.971283,-1.639878
2.56532,-3.573967,0.07679059
2.625447,-3.659084,-1.039724
2.551636,-3.557523,0.2294409
2.624905,-3.659677,-0.8754317
2.555243,-3.563867,0.3836596
2.616812,-3.651084,-0.711464
2.54002,-3.545247,0.5354939
2.604129,-3.636068,-0.5491433
2.535557,-3.541628,0.6898761
2.601467,-3.63369,-0.3909806
2.536521,-3.544281,0.8471919
2.586798,-3.615867,-0.2329997
2.515407,-3.517372,0.9983328
2.58869,-3.621181,-0.07769811
2.518224,-3.52391,1.160545
3.558952,-4.993153,-1.642983
2.567913,-3.604071,0.07724435
4.066522,-5.709479,-1.618298
2.555419,-3.589186,0.2309063
4.535332,-6.370053,-1.519985
2.55203,-3.58575,0.3850541
2.613213,-3.673073,-0.713967
2.543737,-3.57674,0.5389063
2.606374,-3.666169,-0.5523119
2.531188,-3.561728,0.6920662
2.600308,-3.658989,-0.3927238
2.537777,-3.57232,0.8517714
2.594976,-3.654186,-0.2348838
2.52229,-3.553145,1.005981
2.584134,-3.641612,-0.07794245
2.511496,-3.540557,1.163133
3.540385,-5.003968,-1.642466
2.566864,-3.62934,0.0775934
4.061192,-5.744325,-1.624147
2.559013,-3.620919,0.2323717
4.498339,-6.365003,-1.515024
2.546395,-3.6044,0.3860999
5.320401,-7.533771,-1.460785
2.547264,-3.608302,0.5423186
5.310733,-7.525655,-1.130948
2.534682,-3.59314,0.6964463
2.590966,-3.672928,-0.3932467
2.537738,-3.598806,0.8559692
2.598314,-3.686076,-0.2363492
2.519974,-3.576265,1.01003
2.587529,-3.673497,-0.07843112
2.50802,-3.561939,1.167274
3.521787,-5.014715,-1.641948
2.563371,-3.651371,0.07787264
4.039996,-5.756872,-1.623697
2.56471,-3.655991,0.2340464
4.473839,-6.377451,-1.51426
2.542949,-3.626317,0.3874944
5.321284,-7.591118,-1.468294
2.546044,-3.633428,0.544756
5.310626,-7.581542,-1.136554
2.53572,-3.621384,0.7002007
5.277393,-7.536899,-0.8049704
2.53867,-3.626943,0.8605486
4.491873,-6.419827,-0.4106279
2.528697,-3.615381,1.018578
5.274276,-7.543649,-0.1606669
2.509958,-3.591257,1.174003
3.510889,-5.036487,-1.645054
5.242984,-7.524034,0.1600735
4.017648,-5.76774,-1.622797
2.564487,-3.682951,0.2351978
4.449306,-6.389806,-1.513497
2.554178,-3.669512,0.391155
5.330856,-7.661533,-1.478306
2.544681,-3.65859,0.5471934
5.312459,-7.64078,-1.142647
2.538847,-3.652922,0.7045809
5.286303,-7.605992,-0.8103741
2.536075,-3.650293,0.8639832
4.454625,-6.414141,-0.4092672
2.526063,-3.638592,1.022627
5.280975,-7.609657,-0.1616791
2.513923,-3.623806,1.181768
3.497683,-5.055066,-1.647125
5.232615,-7.565315,0.1605621
3.999707,-5.784935,-1.623697
4.418045,-6.392378,-1.510444
2.557209,-3.701355,0.3935953
5.332144,-7.72073,-1.486127
2.548811,-3.691954,0.5508494
5.31056,-7.695221,-1.148009
2.539541,-3.681274,0.7083353
5.29253,-7.671958,-0.8154292
2.54338,-3.688215,0.8708523
4.423141,-6.416497,-0.4084298
2.526616,-3.666644,1.028026
5.28047,-7.665921,-0.1624819
2.523171,-3.664382,1.192121
3.48111,-5.068837,-1.647642
5.237864,-7.629694,0.1615395
3.987208,-5.810109,-1.626846
4.40857,-6.426517,0.4084298
4.376824,-6.38024,-1.503957
5.22038,-7.612766,0.8075851
5.342018,-7.793063,-1.496452
5.204222,-7.594886,1.13046
5.316199,-7.761207,-1.155078
2.534488,-3.701526,0.7105255
5.302864,-7.744637,-0.8211814
2.546014,-3.719752,0.8761949
4.391693,-6.418711,-0.4075925
2.529203,-3.69796,1.034325
5.273994,-7.714021,-0.1631102
2.523445,-3.692306,1.198332
3.460132,-5.076168,-1.646089
5.244979,-7.697507,0.1625866
3.966903,-5.823992,-1.626846
4.384986,-6.437799,0.4082205
4.356736,-6.398724,-1.50472
5.217317,-7.665531,0.8112456
5.342561,-7.852493,-1.504274
5.210054,-7.660609,1.137529
5.32479,-7.832248,-1.162877
5.179893,-7.619119,1.459221
5.293716,-7.789465,-0.8239704
4.293769,-6.320461,1.485257
4.35804,-6.41748,-0.4065458
3.822031,-5.630286,1.571058
5.292186,-7.795993,-0.1644715
2.517695,-3.710245,1.201438
3.446722,-5.094616,-1.64816
5.246318,-7.754608,0.1634243
3.953027,-5.845186,-1.629096
4.351302,-6.43652,0.4071738
4.32558,-6.400879,-1.501667
5.226216,-7.736528,0.8168236
4.319098,-6.393692,-1.222066
5.212395,-7.718972,1.143622
4.291451,-6.357549,-0.9418063
5.180888,-7.678091,1.467043
4.311683,-6.392334,-0.6745854
4.276079,-6.339547,1.486402
4.31887,-6.4054,-0.404871
3.800071,-5.638081,1.569708
5.288405,-7.849245,-0.1652045
3.241795,-4.813404,1.554985
3.435194,-5.114036,-1.650748
5.249315,-7.817698,0.1643668
3.931513,-5.85733,-1.628646
4.315454,-6.431767,0.4059177
4.291203,-6.395625,-1.497087
5.231606,-7.800147,0.8217043
4.284652,-6.390682,-1.218625
5.209733,-7.773397,1.148984
4.274757,-6.380737,-0.9430251
5.189229,-7.748652,1.477054
4.299331,-6.41984,-0.6759799
4.249555,-6.34791,1.484876
4.258718,-6.363999,-0.4013121
3.77495,-5.643213,1.567459
3.229268,-4.831114,1.557055
3.421608,-5.132425,-1.652818
5.255262,-7.885895,0.1654139
3.909963,-5.869397,-1.628196
4.279692,-6.426843,0.4046617
4.260147,-6.397492,-1.494035
5.239676,-7.871435,0.8272823
4.262319,-6.405599,-1.218625
5.221045,-7.849385,1.157515
4.267846,-6.418762,-0.9464374
5.192765,-7.812782,1.485815
4.276896,-6.434809,-0.6759799
4.225198,-6.359434,1.484113
4.247528,-6.395464,-0.4023589
3.747684,-5.644991,1.56431
4.229465,-6.373093,-0.1335109
3.212384,-4.842358,1.557055
3.40154,-5.141115,-1.651783
3.895899,-5.892763,-1.630895
4.247342,-6.424339,0.4036149
4.229131,-6.399221,-1.490982
5.241819,-7.93456,0.8319887
4.237756,-6.417141,-1.217999
5.225329,-7.915606,1.164584
4.234481,-6.417052,-0.944
5.191853,-7.86788,1.493011
4.239049,-6.426414,-0.6735396
4.204055,-6.375783,1.484494
4.244962,-6.440269,-0.404243
3.727956,-5.658039,1.56431
4.232512,-6.42382,-0.1342788
3.195246,-4.85137,1.556538
3.381453,-5.149728,-1.650748
4.222416,-6.43046,0.1342788
3.879545,-5.910537,-1.632245
4.228178,-6.444136,0.403929
4.19923,-6.402452,-1.48831
4.225456,-6.444892,0.6742368
4.207788,-6.417943,-1.215496
4.204475,-6.417775,-0.9420501
5.191412,-7.927269,1.500832
4.201313,-6.417834,-0.6710992
4.178587,-6.383119,1.482968
4.217021,-6.444283,-0.4036149
3.705973,-5.665477,1.56296
4.201308,-6.425165,-0.1339996
3.173007,-4.854409,1.55395
3.368577,-5.167386,-1.652818
4.19121,-6.431757,0.1339996
3.86208,-5.928942,-1.633595
4.203478,-6.455508,0.4037196
4.174762,-6.411407,-1.487165
4.196453,-6.44718,0.6730167
4.1692,-6.407756,-1.210803
4.218886,-6.486597,0.9500935
4.156079,-6.392469,-0.9362004
4.20352,-6.467909,1.221753
4.168031,-6.415753,-0.6693561
4.148794,-6.386141,1.480296
4.183622,-6.442214,-0.4025682
3.687235,-5.680013,1.56341
4.170146,-6.426372,-0.1337203
3.151837,-4.858972,1.551879
3.352762,-5.184565,-1.654371
4.152445,-6.42116,0.133476
3.841361,-5.942387,-1.633595
4.167911,-6.450011,0.4024636
4.141648,-6.411823,-1.483731
4.168471,-6.455822,0.6723194
4.145687,-6.422994,-1.210803
4.196218,-6.501284,0.9500935
4.115444,-6.378581,-0.9320568
4.168069,-6.462622,1.217999
4.108905,-6.373329,-0.6634295
4.123233,-6.398004,1.479533
4.11888,-6.393701,-0.3985907
3.665337,-5.691852,1.56296
4.143358,-6.434164,-0.1335807
3.137995,-4.874818,1.553432
3.340904,-5.205991,-1.657477
4.128882,-6.436336,0.133476
3.819555,-5.956427,-1.633595
4.124841,-6.434978,0.4005795
4.1203,-6.427894,-1.484113
4.139462,-6.460268,0.6712735
4.117913,-6.429109,-1.209239
4.155236,-6.489871,0.9461937
4.082407,-6.378575,-0.9298632
4.137967,-6.467871,1.216122
4.083371,-6.384988,-0.6630809
4.097701,-6.407396,1.478388
4.0804,-6.382798,-0.3970206
3.638101,-5.693117,1.559811
4.085299,-6.39538,-0.1324638
3.119066,-4.884658,1.552914
3.322838,-5.219831,-1.657995
4.103168,-6.445649,0.1333713
3.800832,-5.973011,-1.634494
4.106641,-6.456078,0.4009981
4.071432,-6.403191,-1.474954
4.107206,-6.461945,0.669879
5.410014,-8.514959,-1.597822
4.143202,-6.521091,0.948631
4.09098,-6.441381,-0.9369316
4.104778,-6.465599,1.212993
4.07814,-6.426119,-0.6658698
4.071034,-6.417399,1.477243
4.05056,-6.38759,-0.3963926
3.61721,-5.706412,1.559811
4.050104,-6.389334,-0.1320449
3.101997,-4.895516,1.552914
3.302294,-5.223712,-1.655924
4.073226,-6.445696,0.1330921
3.784127,-5.990525,-1.635844
4.076679,-6.456151,0.4001608
4.047102,-6.409311,-1.473427
4.071997,-6.451228,0.6674387
5.395886,-8.551961,-1.601576
4.121554,-6.534795,0.948631
5.381311,-8.535462,-1.238924
4.068569,-6.45578,1.208613
4.072803,-6.462497,-0.6683102
4.04876,-6.426834,1.47648
4.077303,-6.474646,-0.4009981
3.599265,-5.717748,1.559811
4.050194,-6.43658,-0.132743
3.073403,-4.886152,1.546703
3.28404,-5.235208,-1.655924
4.041141,-6.444628,0.1327779
3.768368,-6.011953,-1.638094
4.045634,-6.456802,0.3993234
4.02262,-6.420072,-1.472664
4.049453,-6.465403,0.6674387
5.40269,-8.629344,-1.612527
4.069231,-6.502026,0.9418063
5.386228,-8.60973,-1.246967
4.050199,-6.476641,1.209864
5.351699,-8.55786,-0.883062
4.022139,-6.434268,1.474954
5.373426,-8.599279,-0.5314193
3.578252,-5.728624,1.559361
4.046764,-6.481209,-0.1333713
3.058374,-4.900129,1.547738
3.272891,-5.25812,-1.659548
4.006999,-6.440018,0.132394
3.742213,-6.016797,-1.635844
4.023071,-6.470884,0.3993234
3.991893,-6.420735,-1.469611
4.012136,-6.455808,0.6649984
5.39651,-8.686743,-1.619723
4.00881,-6.455481,0.9330317
5.387549,-8.679076,-1.254279
4.015068,-6.470598,1.20611
5.359611,-8.637435,-0.8893372
3.993445,-6.438259,1.472664
5.367584,-8.657024,-0.5338268
3.555153,-5.73611,1.558011
5.348989,-8.633763,-0.1772816
3.037182,-4.904204,1.545667
3.260608,-5.279375,-1.662654
5.316512,-8.611526,0.1766533
3.723234,-6.03314,-1.636744
3.989973,-6.467889,0.3982767
3.957087,-6.41458,-1.465032
5.28632,-8.572661,0.8811446
5.384812,-8.735795,-1.625354
3.996665,-6.486336,0.9354692
5.388452,-8.748535,-1.261592
3.986243,-6.474481,1.204233
5.364944,-8.713775,-0.8952637
3.971977,-6.453832,1.473045
5.372915,-8.733546,-0.5373856
3.527963,-5.736866,1.554862
5.354424,-8.710303,-0.1784683
3.022067,-4.918068,1.546703
3.24014,-5.28743,-1.661618
5.325068,-8.693125,0.1779447
3.705205,-6.051085,-1.638094
3.95903,-6.46815,0.3974393
3.928522,-6.418306,-1.462742
5.2834,-8.635249,0.8856767
5.368714,-8.778132,-1.629734
5.265186,-8.612234,1.239411
5.398252,-8.833351,-1.271097
5.233336,-8.566855,1.59
5.371886,-8.793658,-0.901539
3.948401,-6.465981,1.472664
5.377776,-8.810211,-0.5409445
3.509947,-5.752472,1.555761
5.356266,-8.781863,-0.1795503
3.006894,-4.931887,1.547738
3.218654,-5.293756,-1.660066
5.315462,-8.745836,0.1786428
3.690131,-6.073974,-1.640793
3.928135,-6.468273,0.3966019
3.897942,-6.418556,-1.459689
5.283207,-8.70303,0.8907316
5.358536,-8.830594,-1.635992
5.271125,-8.689965,1.247942
5.404437,-8.913249,-1.279872
5.239236,-8.644196,1.60095
5.378335,-8.873694,-0.9078142
3.919703,-6.46965,1.470374
5.38941,-8.898973,-0.5452361
3.487827,-5.761355,1.554862
5.353533,-8.8467,-0.1804928
2.979661,-4.925823,1.542562
3.205145,-5.31323,-1.662654
5.298324,-8.786599,0.1790966
3.671925,-6.091825,-1.642143
3.901409,-6.475102,0.3961832
3.87754,-6.435486,-1.460452
5.29083,-8.784569,0.8971812
5.325642,-8.84586,-1.635366
5.28068,-8.774644,1.257448
5.411153,-8.994997,-1.28889
5.246696,-8.725068,1.612527
5.382236,-8.950468,-0.9137408
3.886981,-6.466466,1.466558
5.390202,-8.970803,-0.5484809
3.466691,-5.771824,1.554412
5.367908,-8.940767,-0.1820286
2.962448,-4.936194,1.542562
3.188563,-5.327701,-1.663689
5.308688,-8.873683,0.1804928
3.648638,-6.101261,-1.641243
3.866486,-6.46811,0.3949272
3.844979,-6.432131,-1.456636
5.297946,-8.866264,0.9036307
5.292706,-8.861005,-1.63474
5.274441,-8.833929,1.263298
5.417363,-9.0769,-1.297909
5.254666,-8.807795,1.624416
5.391792,-9.037642,-0.9207132
3.865391,-6.481681,1.46694
5.386468,-9.035883,-0.551307
3.44752,-5.785564,1.554862
5.372484,-9.019582,-0.1832503
2.943223,-4.943185,1.541526
3.174878,-5.347104,-1.666277
5.311361,-8.948907,0.1816446
3.630301,-6.118988,-1.642593
3.831658,-6.460952,0.3936711
3.818497,-6.438759,-1.455109
5.302525,-8.94469,0.9097316
5.269799,-8.893022,-1.637243
5.277971,-8.910357,1.271585
5.41801,-9.150415,-1.305708
5.256087,-8.880481,1.634428
5.396746,-9.118133,-0.9269885
3.835745,-6.483306,1.464268
5.393528,-9.119957,-0.5552846
3.416394,-5.779111,1.549913
5.375556,-9.096814,-0.184437
2.92595,-4.953429,1.541526
3.157174,-5.359818,-1.666795
5.329807,-9.051827,0.183355
3.612873,-6.13834,-1.644392
3.803006,-6.463959,0.3930431
3.784052,-6.431743,-1.45053
5.305612,-9.021536,0.9156582
5.246733,-8.924986,-1.639746
5.285052,-8.993762,1.280847
5.423236,-9.232603,-1.314727
5.256062,-8.951579,1.644126
5.407255,-9.209076,-0.9343095
3.814084,-6.49835,1.46465
5.400067,-9.20419,-0.5592621
3.398174,-5.794363,1.550813
5.380177,-9.177627,-0.1856936
2.906688,-4.960278,1.540491
3.139421,-5.372474,-1.667312
5.323392,-9.113545,0.1842276
3.597321,-6.161012,-1.647092
3.771479,-6.459287,0.3919964
3.753661,-6.431348,-1.447477
5.306216,-9.09507,0.9212362
5.215546,-8.943246,-1.639746
5.296616,-9.085898,1.291328
5.429953,-9.318368,-1.324232
5.235299,-8.984322,1.646942
5.447278,-9.351851,-0.94686
3.787426,-6.504837,1.463123
5.411105,-9.297209,-0.563763
3.378907,-5.807874,1.551262
5.383903,-9.254186,-0.1868804
2.884396,-4.95987,1.537385
3.11871,-5.380057,-1.666277
5.332253,-9.19862,0.1855889
3.576869,-6.172907,-1.647092
3.744905,-6.465499,0.3915777
3.729221,-6.441014,-1.446714
5.314356,-9.182514,0.9282086
5.185862,-8.960492,-1.639746
5.301248,-9.163552,1.299858
5.44076,-9.408498,-1.334469
5.203907,-9.002542,1.646942
3.74995,-6.489872,-0.6557598
3.765834,-6.517361,1.463123
5.420203,-9.384281,-0.5679498
3.355731,-5.812296,1.549463
5.393548,-9.345665,-0.1883464
2.865134,-4.966562,1.53635
3.106632,-5.400417,-1.669383
5.332011,-9.27265,0.1867059
3.553359,-6.181975,-1.646192
3.716342,-6.468142,0.3909496
3.700016,-6.439727,-1.443661
5.319598,-9.262284,0.9344838
5.174222,-9.012801,-1.646004
5.296894,-9.230211,1.306683
5.445419,-9.492865,-1.343732
5.159676,-8.998374,1.642875
3.722462,-6.491901,-0.6547139
3.739156,-6.523653,1.461597
5.420177,-9.460333,-0.571404
3.338327,-5.829047,1.550813
5.400633,-9.433852,-0.1897426
2.8497,-4.979885,1.537385
3.088719,-5.412906,-1.669901
5.343204,-9.367633,0.1882416
3.532723,-6.196034,-1.646642
3.68583,-6.467193,0.3901123
3.671682,-6.442369,-1.441371
5.33063,-9.356968,0.9421536
5.142729,-9.030808,-1.646004
5.304905,-9.319377,1.316676
5.441703,-9.563575,-1.351044
5.116515,-8.995725,1.639121
0.9239596,-1.624482,-0.1635042
3.71151,-6.528132,1.459689
5.424621,-9.545179,-0.5753816
3.311222,-5.828804,1.547663
5.397292,-9.504813,-0.1907897
2.832299,-4.989802,1.537385
3.074564,-5.432061,-1.672489
5.34986,-9.455845,0.1896378
3.516829,-6.218506,-1.649341
3.659302,-6.473065,0.3896936
3.635646,-6.431219,-1.436029
5.334202,-9.439698,0.9486031
5.120891,-9.065905,-1.649132
5.313334,-9.410438,1.326913
5.466828,-9.686237,-1.365668
5.068582,-8.984282,1.633802
0.9133885,-1.619021,-0.1626326
3.689664,-6.542758,1.46007
5.430499,-9.633653,-0.5795684
3.286072,-5.831838,1.545414
5.402354,-9.591546,-0.192151
2.812969,-4.996292,1.53635
3.053692,-5.439391,-1.671453
5.362816,-9.556424,0.1912784
3.499868,-6.239242,-1.651591
3.632777,-6.47883,0.3892749
3.604533,-6.428459,-1.432594
5.335313,-9.519091,0.954704
5.102731,-9.107852,-1.653512
5.314402,-9.489547,1.335444
0.8940229,-1.597046,-0.2247271
5.029473,-8.98813,1.631299
0.8960565,-1.601335,-0.1605409
3.661053,-6.545317,1.457781
5.437777,-9.725767,-0.5839647
3.266645,-5.844974,1.545864
5.409801,-9.683668,-0.193617
2.787976,-4.992587,1.532209
3.035626,-5.451705,-1.671971
5.365408,-9.639734,0.1925699
3.48091,-6.25653,-1.65294
3.610139,-6.491472,0.3892749
3.588751,-6.453012,-1.435265
5.341743,-9.609055,0.9618508
5.070907,-9.125608,-1.653512
5.322693,-9.582661,1.345925
